distance_m,total_elevation_gain,average_heartrate,distance_km,elapsed_time_min,pace_min_per_km,has_heartrate,source,average_speed
11043.8,54.2,155.6,11.0438,56.68333333333333,5.132593249907942,1.0,0,11.689997059688327
11016.2,182.6,141.5,11.016200000000001,61.93333333333333,5.622023323227004,1.0,0,10.672314316469324
16216.1,264.1,138.4,16.2161,97.98333333333333,6.0423488590557115,1.0,0,9.929913250552817
9022.5,104.4,143.6,9.0225,54.71666666666667,6.064468458483421,1.0,0,9.893694791349377
10412.3,178.5,141.0,10.4123,61.46666666666667,5.903274652734426,1.0,0,10.16385032537961
20514.8,78.2,154.3,20.5148,102.55,4.9988301128941055,1.0,0,12.002808386153097
11053.5,105.2,136.5,11.0535,63.45,5.740263265029177,1.0,0,10.452482269503545
10005.2,50.1,137.3,10.0052,59.43333333333333,5.940244406242087,1.0,0,10.100594503645542
10161.6,197.6,133.4,10.1616,62.63333333333333,6.163727496982102,1.0,0,9.734369345396487
15563.5,76.6,157.2,15.5635,77.98333333333333,5.010655272485838,1.0,0,11.974481726864715
10027.2,222.8,141.3,10.0272,57.833333333333336,5.767645338013935,1.0,0,10.40285878962536
7151.1,32.8,161.0,7.1511000000000005,30.5,4.265078099872746,1.0,0,14.067737704918034
11141.1,182.7,137.7,11.1411,66.55,5.9733778531742825,1.0,0,10.044567993989482
9309.5,84.8,118.3,9.3095,60.25,6.471883559804501,1.0,0,9.270871369294605
11752.6,76.0,137.6,11.752600000000001,68.78333333333333,5.852605664562167,1.0,0,10.25184395444633
12499.4,240.8,133.4,12.4994,76.96666666666667,6.15762889952051,1.0,0,9.744010394110004
13623.0,477.1,163.6,13.623,84.36666666666666,6.192957987716851,1.0,0,9.68842354800474
3574.7,16.6,144.3,3.5747,12.75,3.5667328726886174,1.0,0,16.822117647058825
10058.2,92.8,135.2,10.058200000000001,64.58333333333333,6.420963326771522,1.0,0,9.344392258064518
4029.4,19.0,154.5,4.0294,15.15,3.759864992306547,1.0,0,15.958019801980198
13505.3,238.3,155.1,13.5053,84.38333333333334,6.248164300928772,1.0,0,9.602820462176576
12525.5,298.0,143.7,12.5255,78.16666666666667,6.240602504224715,1.0,0,9.614456289978676
10031.7,49.5,168.5,10.0317,44.95,4.480795877069689,1.0,0,13.39047830923248
12769.8,247.2,146.8,12.7698,74.31666666666666,5.819720486355829,1.0,0,10.309773491814308
9212.9,182.2,,9.2129,58.75,6.376928003126052,0.0,0,9.40891914893617
10575.7,148.5,,10.575700000000001,66.06666666666666,6.247025413605402,0.0,0,9.604571140262362
13999.1,96.3,,13.9991,85.45,6.103963826245973,0.0,0,9.829678174370976
10057.8,87.7,,10.057799999999999,62.56666666666667,6.2207109573332815,0.0,0,9.645199786893977
13171.6,237.9,136.8,13.1716,79.35,6.024325063014364,1.0,0,9.959621928166351
12977.1,248.5,141.2,12.9771,78.73333333333333,6.067097682327588,1.0,0,9.889407281964438
20067.2,192.8,132.9,20.0672,120.23333333333333,5.99153510870143,1.0,0,10.014128084280564
8490.8,30.7,134.6,8.4908,47.53333333333333,5.598216108415382,1.0,0,10.717699859747546
8299.2,127.8,137.6,8.2992,46.9,5.651147098515519,1.0,0,10.617313432835823
9810.2,162.8,166.1,9.8102,47.96666666666667,4.889468784190605,1.0,0,12.27127171646977
5655.2,100.0,171.1,5.6552,31.766666666666666,5.617249021549489,1.0,0,10.681385099685205
19003.4,88.3,128.4,19.003400000000003,112.36666666666666,5.912976976049898,1.0,0,10.14717294571344
15049.7,252.3,140.5,15.049700000000001,89.0,5.913739144301879,1.0,0,10.145865168539327
14798.0,220.8,131.7,14.798,93.43333333333334,6.3139162949948195,1.0,0,9.502818408847663
11097.8,202.4,154.4,11.0978,68.0,6.1273405539836725,1.0,0,9.792176470588235
15452.0,271.7,130.6,15.452,103.58333333333333,6.703555095349038,1.0,0,8.950474658085279
11132.8,107.0,157.9,11.1328,62.5,5.61404139120437,1.0,0,10.687487999999998
11048.9,182.7,132.4,11.0489,69.36666666666666,6.27815136951793,1.0,0,9.55695338779433
10743.4,224.5,136.4,10.7434,70.83333333333333,6.593195202015501,1.0,0,9.100291764705881
12854.7,250.7,142.6,12.854700000000001,80.98333333333333,6.299900684833822,1.0,0,9.523959662481992
12143.7,210.5,154.4,12.1437,82.21666666666667,6.770314374257159,1.0,0,8.86221771741334
11140.5,82.8,136.2,11.1405,61.916666666666664,5.5577996200050865,1.0,0,10.79563930013459
12675.7,373.8,139.5,12.6757,82.31666666666666,6.494052925413717,1.0,0,9.239222514679085
14243.0,86.9,144.2,14.243,79.35,5.5711577617075045,1.0,0,10.769754253308129
14216.9,315.4,156.3,14.216899999999999,90.2,6.344561753968868,1.0,0,9.45691796008869
8247.5,76.4,130.0,8.2475,45.05,5.462261291300393,1.0,0,10.984461709211988
11581.0,282.9,158.2,11.581,69.71666666666667,6.0199176812595345,1.0,0,9.966913698302653
9142.5,84.4,126.0,9.1425,64.6,7.065901011758271,1.0,0,8.491486068111454
14013.0,366.5,148.3,14.013,88.9,6.344109041604225,1.0,0,9.457592800899887
